format,quality,ssimulacra2_mean,ssimulacra2_p05,ssimulacra2_p25,ssimulacra2_p50,ssimulacra2_p75,ssimulacra2_p95,ssimulacra2_min,ssimulacra2_max,psnr_mean,psnr_p05,psnr_p25,psnr_p50,psnr_p75,psnr_p95,psnr_min,psnr_max,ssim_mean,ssim_p05,ssim_p25,ssim_p50,ssim_p75,ssim_p95,ssim_min,ssim_max,butteraugli_mean,butteraugli_p05,butteraugli_p25,butteraugli_p50,butteraugli_p75,butteraugli_p95,butteraugli_min,butteraugli_max,file_size_mean,file_size_p05,file_size_p25,file_size_p50,file_size_p75,file_size_p95,file_size_min,file_size_max,bits_per_pixel_mean,bits_per_pixel_p05,bits_per_pixel_p25,bits_per_pixel_p50,bits_per_pixel_p75,bits_per_pixel_p95,bits_per_pixel_min,bits_per_pixel_max,encoding_time_mean,encoding_time_p05,encoding_time_p25,encoding_time_p50,encoding_time_p75,encoding_time_p95,encoding_time_min,encoding_time_max,encoding_time_per_pixel_mean,encoding_time_per_pixel_p05,encoding_time_per_pixel_p25,encoding_time_per_pixel_p50,encoding_time_per_pixel_p75,encoding_time_per_pixel_p95,encoding_time_per_pixel_min,encoding_time_per_pixel_max,compression_ratio_mean,compression_ratio_p05,compression_ratio_p25,compression_ratio_p50,compression_ratio_p75,compression_ratio_p95,compression_ratio_min,compression_ratio_max,bits_per_ssimulacra2_per_pixel_mean,bits_per_ssimulacra2_per_pixel_p05,bits_per_ssimulacra2_per_pixel_p25,bits_per_ssimulacra2_per_pixel_p50,bits_per_ssimulacra2_per_pixel_p75,bits_per_ssimulacra2_per_pixel_p95,bits_per_ssimulacra2_per_pixel_min,bits_per_ssimulacra2_per_pixel_max,bits_per_psnr_per_pixel_mean,bits_per_psnr_per_pixel_p05,bits_per_psnr_per_pixel_p25,bits_per_psnr_per_pixel_p50,bits_per_psnr_per_pixel_p75,bits_per_psnr_per_pixel_p95,bits_per_psnr_per_pixel_min,bits_per_psnr_per_pixel_max,bits_per_ssim_per_pixel_mean,bits_per_ssim_per_pixel_p05,bits_per_ssim_per_pixel_p25,bits_per_ssim_per_pixel_p50,bits_per_ssim_per_pixel_p75,bits_per_ssim_per_pixel_p95,bits_per_ssim_per_pixel_min,bits_per_ssim_per_pixel_max,bits_per_butteraugli_per_pixel_mean,bits_per_butteraugli_per_pixel_p05,bits_per_butteraugli_per_pixel_p25,bits_per_butteraugli_per_pixel_p50,bits_per_butteraugli_per_pixel_p75,bits_per_butteraugli_per_pixel_p95,bits_per_butteraugli_per_pixel_min,bits_per_butteraugli_per_pixel_max
jpeg,70,71.61,62.71,69.8,72.11,74.42,76.52,54.68,81.4,34.14,29.68,32.43,34.19,35.73,38.72,26.13,42.3,0.9273,0.856,0.9231,0.9395,0.9526,0.9686,0.5943,0.9861,3.88,2.78,3.251,3.827,4.285,5.645,2.342,6.621,4.085e+05,2.077e+05,3.188e+05,4.069e+05,5.012e+05,6.709e+05,93980,827481,1.151,0.5906,0.922,1.117,1.366,1.866,0.2718,2.295,0.1349,0.09478,0.1217,0.1369,0.1538,0.1681,0.08058,0.1903,4.736e-08,3.851e-08,4.375e-08,4.75e-08,5.181e-08,5.607e-08,2.937e-08,5.731e-08,11.55,8.819,10.25,11.02,12.49,16.47,7.61,19.58,0.01629,0.007898,0.01256,0.01559,0.01897,0.0279,0.003339,0.04197,0.03487,0.01549,0.02593,0.03208,0.04188,0.06406,0.006425,0.08784,1.249,0.629,0.9637,1.217,1.506,2.051,0.2762,2.665,4.534,1.744,3.291,3.981,5.708,7.309,0.8826,15.19
jpeg,75,74.14,66.24,72.81,74.62,76.55,78.93,57.97,82.62,34.69,30.35,32.99,34.72,36.23,39.19,26.64,42.67,0.9393,0.8755,0.9308,0.9476,0.9569,0.9715,0.8247,0.9874,3.621,2.656,3.089,3.454,4.022,5.24,2.241,6.276,4.511e+05,2.372e+05,3.506e+05,4.487e+05,5.536e+05,7.416e+05,100532,904700,1.271,0.6637,1.014,1.233,1.5,2.06,0.2907,2.538,0.1351,0.09252,0.121,0.1329,0.1496,0.1768,0.07853,0.2004,4.738e-08,3.864e-08,4.374e-08,4.709e-08,5.203e-08,5.657e-08,2.946e-08,5.992e-08,10.44,8.024,9.267,9.987,11.27,14.67,6.99,16.63,0.01735,0.00852,0.01339,0.01666,0.02017,0.02919,0.003519,0.04379,0.03785,0.01707,0.02809,0.03489,0.04536,0.06924,0.006814,0.09526,1.359,0.6994,1.059,1.31,1.611,2.241,0.2952,2.905,4.639,1.937,3.393,4.085,5.853,7.614,0.8977,15.12
jpeg,80,77.06,69.26,75.8,77.46,79.19,81.72,62.11,84.26,35.45,31.27,33.73,35.52,36.94,40.04,27.32,43.13,0.9465,0.8896,0.9391,0.9538,0.9626,0.975,0.8451,0.9889,3.227,2.361,2.711,3.137,3.519,4.375,2.164,5.865,5.183e+05,2.831e+05,4.012e+05,5.147e+05,6.335e+05,8.482e+05,111267,1022057,1.46,0.7804,1.16,1.42,1.717,2.359,0.3218,2.901,0.1355,0.09492,0.1197,0.1355,0.1502,0.1798,0.0818,0.2006,4.755e-08,3.85e-08,4.327e-08,4.797e-08,5.247e-08,5.679e-08,2.957e-08,6.001e-08,9.05,7.053,8.053,8.723,9.791,12.24,6.226,13.87,0.01914,0.009659,0.01498,0.01833,0.02219,0.03153,0.003819,0.0467,0.04247,0.01975,0.03165,0.03935,0.05115,0.07735,0.007461,0.1062,1.548,0.8124,1.216,1.486,1.823,2.538,0.3263,3.267,4.748,2.001,3.419,4.376,5.957,8.079,0.892,14.2
jpeg,85,80.01,73.29,78.92,80.47,81.86,84.28,66.43,85.84,36.41,32.42,34.77,36.51,38.03,41.09,28.12,43.69,0.9549,0.9057,0.9479,0.9617,0.9689,0.9786,0.8678,0.9907,2.793,2.058,2.328,2.641,3.066,4.151,1.827,5.186,6.131e+05,3.403e+05,4.753e+05,6.067e+05,7.391e+05,9.933e+05,126726,1182041,1.727,0.9361,1.375,1.674,2.026,2.775,0.3665,3.396,0.1382,0.1021,0.1232,0.1382,0.1517,0.1797,0.07579,0.2022,4.851e-08,4.02e-08,4.433e-08,4.809e-08,5.313e-08,5.73e-08,3.09e-08,6.133e-08,7.616,6.028,6.833,7.311,8.169,9.939,5.419,11.69,0.02176,0.01125,0.01732,0.02064,0.02527,0.03546,0.00427,0.05112,0.0488,0.02327,0.03678,0.04496,0.05869,0.0879,0.008388,0.1208,1.813,0.9641,1.444,1.729,2.129,2.949,0.3712,3.759,4.872,2.024,3.571,4.398,6.021,8.639,0.8656,16.85
jpeg,90,83.55,78.93,82.77,84.03,85.1,87.31,71.38,87.94,37.8,33.59,36.25,37.86,39.43,42.31,29.04,44.48,0.9648,0.9355,0.9578,0.9706,0.9758,0.983,0.898,0.9925,2.353,1.683,1.839,2.193,2.552,3.785,1.503,5.15,7.782e+05,4.396e+05,6.178e+05,7.681e+05,9.307e+05,1.232e+06,155667,1449513,2.191,1.212,1.805,2.113,2.569,3.477,0.4502,4.204,0.1403,0.0981,0.1223,0.1384,0.1571,0.1838,0.07674,0.2763,4.923e-08,3.98e-08,4.461e-08,4.932e-08,5.267e-08,5.841e-08,2.918e-08,9.988e-08,5.961,4.862,5.424,5.809,6.398,7.422,4.436,8.878,0.02638,0.01399,0.02176,0.02489,0.03036,0.04222,0.005119,0.0589,0.05948,0.02921,0.04672,0.0547,0.07032,0.1059,0.01013,0.1448,2.275,1.242,1.872,2.161,2.647,3.643,0.4553,4.568,5.23,2.495,3.68,4.463,6.172,8.621,0.8394,19.56
jpeg,95,87.46,83.61,86.94,87.79,88.87,90.05,75.71,90.64,40.07,35.38,38.46,40.22,41.99,44.28,29.96,46.01,0.9771,0.956,0.9735,0.9805,0.9851,0.9881,0.9217,0.9948,1.865,1.17,1.286,1.604,2.13,3.62,1.117,4.913,1.133e+06,6.717e+05,9.308e+05,1.096e+06,1.341e+06,1.749e+06,223211,1991265,3.188,1.838,2.714,3.075,3.697,4.918,0.6455,5.837,0.1426,0.1064,0.1276,0.1416,0.1574,0.1832,0.08245,0.2099,5.005e-08,4.111e-08,4.608e-08,5.034e-08,5.457e-08,5.902e-08,2.981e-08,6.373e-08,4.05,3.441,3.768,3.977,4.325,4.83,3.206,5.541,0.03659,0.02046,0.03124,0.03492,0.04172,0.05749,0.007138,0.0771,0.08142,0.04234,0.066,0.07559,0.09472,0.1359,0.01409,0.1948,3.266,1.871,2.802,3.122,3.769,5.046,0.6511,6.223,6.079,2.672,3.895,5.058,7.179,12.44,0.8455,25.25
jxl,40,49.44,27.48,44.34,50.75,55.79,63.13,22.74,71.47,30.68,25.84,28.7,30.51,32.37,35.58,22.74,40.2,0.8717,0.7728,0.8501,0.8822,0.9026,0.9458,0.5817,0.9748,5.784,5.169,5.542,5.79,6.052,6.388,4.952,6.916,1.267e+05,4.972e+04,9.145e+04,1.26e+05,1.535e+05,2.171e+05,19067,282967,0.3579,0.1438,0.2645,0.3496,0.4308,0.5722,0.05514,0.8183,8.293,6.81,7.913,8.249,8.765,9.699,4.948,11.44,2.916e-06,2.753e-06,2.861e-06,2.926e-06,3e-06,3.153e-06,2.032e-06,3.266e-06,39.03,24.93,31.27,35.42,42.94,60.14,20.2,113,0.007923,0.002694,0.005193,0.00722,0.009395,0.01564,0.0007716,0.02956,0.01219,0.004071,0.00818,0.01144,0.01465,0.02187,0.001372,0.03249,0.4154,0.1663,0.3016,0.4071,0.4902,0.7064,0.05657,1.025,2.092,0.7613,1.489,2.017,2.521,3.696,0.2731,4.779
jxl,45,52.27,31.7,47.31,53.34,57.9,65.59,27.06,72.41,31.01,26.16,28.99,30.84,32.66,35.95,23.02,40.35,0.8788,0.7807,0.8602,0.8895,0.9089,0.9485,0.5936,0.9754,5.346,4.704,5.127,5.385,5.579,5.917,4.178,6.125,1.367e+05,5.397e+04,9.885e+04,1.356e+05,1.656e+05,2.355e+05,20079,304015,0.386,0.1561,0.2859,0.3764,0.4645,0.6192,0.05807,0.8792,8.364,6.959,8.008,8.309,8.707,9.729,4.932,11.5,2.941e-06,2.807e-06,2.895e-06,2.951e-06,3.025e-06,3.112e-06,1.995e-06,3.134e-06,36.23,23.15,29.06,32.69,39.82,54.68,18.8,107.7,0.00795,0.002777,0.005325,0.00733,0.009545,0.01554,0.000802,0.02835,0.013,0.004366,0.008703,0.01218,0.01562,0.02344,0.001439,0.03492,0.4439,0.1786,0.3234,0.4339,0.5279,0.7534,0.05956,1.093,2.088,0.7462,1.502,2.015,2.523,3.671,0.2916,4.635
jxl,50,55.23,35.96,50.68,56.31,60.99,68.05,30.21,73.69,31.37,26.53,29.34,31.2,33.03,36.37,23.35,40.69,0.8861,0.7847,0.8697,0.8956,0.9153,0.9517,0.6076,0.9774,4.923,4.291,4.737,4.925,5.125,5.462,3.965,5.712,1.487e+05,5.884e+04,1.079e+05,1.469e+05,1.805e+05,2.532e+05,21752,329317,0.42,0.1702,0.3119,0.4088,0.5033,0.6743,0.06291,0.9524,8.334,7.017,7.985,8.226,8.769,9.885,4.915,11.52,2.93e-06,2.782e-06,2.88e-06,2.937e-06,3.003e-06,3.136e-06,1.994e-06,3.249e-06,33.34,21.35,26.62,30.13,36.42,49.51,17.36,102.1,0.008081,0.002861,0.005506,0.007554,0.00936,0.01572,0.0008537,0.02768,0.01397,0.004692,0.009331,0.01304,0.01672,0.02528,0.001546,0.03783,0.4785,0.1923,0.3486,0.4649,0.5684,0.8072,0.06436,1.176,2.092,0.8156,1.49,1.981,2.494,3.627,0.2976,4.651
jxl,55,57.98,40.31,53.7,59.11,63.21,69.13,33.33,75.01,31.74,26.88,29.57,31.56,33.5,36.84,23.71,41.08,0.8937,0.7886,0.8807,0.9043,0.922,0.9543,0.6223,0.9782,4.766,4.047,4.469,4.715,5.003,5.551,3.555,6.273,1.642e+05,6.457e+04,1.202e+05,1.622e+05,1.978e+05,2.788e+05,23956,363446,0.4638,0.1867,0.3477,0.4525,0.5559,0.7474,0.06928,1.051,8.535,7.291,8.131,8.439,9.028,9.786,5.065,11.91,3.002e-06,2.863e-06,2.928e-06,3.006e-06,3.091e-06,3.227e-06,2.048e-06,3.32e-06,30.24,19.24,24.05,27.63,32.75,44.55,15.73,94.95,0.008422,0.003001,0.005818,0.007916,0.00972,0.0162,0.0009236,0.02756,0.01524,0.005112,0.01028,0.0143,0.01828,0.027,0.001691,0.04138,0.5232,0.21,0.3838,0.5085,0.6229,0.8594,0.07088,1.28,2.266,0.7868,1.593,2.085,2.67,4.306,0.2812,5.839
jxl,60,61.16,46.36,57.32,62.01,65.99,71.7,36.51,76.6,32.2,27.46,30.02,31.98,33.95,37.19,24.16,41.3,0.9008,0.7954,0.8886,0.9111,0.9279,0.9562,0.6372,0.9804,4.187,3.682,3.973,4.226,4.401,4.686,3.211,4.832,1.815e+05,7.097e+04,1.332e+05,1.803e+05,2.167e+05,3.137e+05,26269,396652,0.5126,0.2052,0.3845,0.5005,0.6084,0.8273,0.07597,1.147,7.91,6.659,7.499,7.817,8.34,9.39,4.707,11.16,2.78e-06,2.656e-06,2.72e-06,2.789e-06,2.863e-06,2.962e-06,1.928e-06,3.037e-06,27.39,17.33,21.73,24.89,29.44,40.03,14.41,87.09,0.00873,0.003146,0.006148,0.008234,0.01008,0.01683,0.0009918,0.02749,0.01659,0.00558,0.01133,0.01546,0.01992,0.02887,0.001839,0.0462,0.5733,0.2291,0.4225,0.5596,0.6856,0.9414,0.07757,1.422,2.179,0.7666,1.572,2.124,2.55,3.83,0.2899,5.311
jxl,65,64.54,51.93,61.31,65.28,68.85,74.14,40.9,78.08,32.76,28.07,30.68,32.62,34.53,37.71,24.7,41.81,0.9099,0.8126,0.8987,0.9205,0.9358,0.9604,0.6646,0.9825,3.734,3.222,3.522,3.727,3.959,4.153,2.957,4.304,2.048e+05,8.094e+04,1.523e+05,2.032e+05,2.426e+05,3.583e+05,29572,440929,0.5786,0.2341,0.439,0.5649,0.6835,0.9312,0.08552,1.276,7.995,6.777,7.573,7.885,8.55,9.189,4.803,11.15,2.812e-06,2.682e-06,2.741e-06,2.815e-06,2.896e-06,3.042e-06,1.906e-06,3.097e-06,24.24,15.57,19.35,22.04,25.81,36.6,12.99,77.11,0.009259,0.003392,0.006662,0.008722,0.0107,0.01699,0.001095,0.02787,0.01838,0.006308,0.01283,0.01709,0.02199,0.03234,0.002059,0.05166,0.6397,0.2583,0.4712,0.6219,0.7623,1.054,0.08735,1.584,2.192,0.7672,1.597,2.12,2.574,3.747,0.299,5.173
jxl,70,68.27,57.15,65.53,68.84,71.99,76.89,48.24,80.16,33.44,28.82,31.4,33.28,35.18,38.33,25.32,42.42,0.9199,0.8321,0.9081,0.93,0.9429,0.965,0.7227,0.9848,3.284,2.927,3.174,3.29,3.445,3.557,2.678,3.752,2.318e+05,9.421e+04,1.681e+05,2.324e+05,2.694e+05,4.062e+05,33671,494557,0.6548,0.2725,0.4859,0.6392,0.7728,1.057,0.09738,1.467,7.956,6.863,7.59,7.834,8.373,9.388,4.737,11.11,2.798e-06,2.635e-06,2.744e-06,2.796e-06,2.877e-06,3.02e-06,1.933e-06,3.085e-06,21.28,14.06,17.02,19.45,23.38,32.85,11.79,64.43,0.009835,0.003792,0.007051,0.00935,0.01141,0.01707,0.001215,0.02841,0.02034,0.007416,0.01429,0.01883,0.02438,0.03647,0.002316,0.05794,0.7153,0.3002,0.5436,0.6922,0.8499,1.196,0.09917,1.773,2.179,0.8089,1.595,2.087,2.545,3.747,0.2965,5.059
jxl,75,72.14,62.53,69.97,72.6,75.08,79.44,57.89,81.88,34.2,29.67,32.23,33.97,36.01,39.1,26.02,42.96,0.9307,0.8544,0.9191,0.9397,0.9524,0.9695,0.8015,0.9869,2.788,2.474,2.673,2.828,2.905,3.024,2.125,3.175,2.734e+05,1.127e+05,1.998e+05,2.736e+05,3.194e+05,4.736e+05,40541,567375,0.7721,0.326,0.5779,0.7552,0.9088,1.249,0.1172,1.725,7.979,6.311,7.65,7.902,8.452,9.444,4.765,11.09,2.805e-06,2.636e-06,2.746e-06,2.823e-06,2.888e-06,3.018e-06,1.934e-06,3.115e-06,17.88,12.44,14.59,16.61,19,28.48,10.38,48.32,0.01091,0.004356,0.008041,0.01035,0.01276,0.01852,0.001432,0.0298,0.02341,0.008874,0.01699,0.02169,0.02792,0.04211,0.002762,0.0663,0.8328,0.3572,0.6566,0.806,0.9725,1.39,0.1193,2.03,2.179,0.815,1.655,2.2,2.572,3.696,0.3023,5.046
jxl,80,76.39,68.16,74.27,77.1,78.93,82.53,64.33,84.2,35.22,30.67,33.31,35.06,37.02,39.97,26.85,43.76,0.9427,0.8741,0.9328,0.9509,0.9615,0.9747,0.8543,0.9891,2.312,2.085,2.217,2.315,2.406,2.517,1.948,2.703,3.348e+05,1.527e+05,2.471e+05,3.315e+05,4.006e+05,5.676e+05,50760,662032,0.9448,0.4507,0.736,0.9256,1.088,1.538,0.1468,2.08,8.065,6.371,7.671,7.938,8.56,9.425,4.82,11.81,2.834e-06,2.655e-06,2.782e-06,2.843e-06,2.928e-06,3.055e-06,1.945e-06,3.114e-06,14.32,10.68,12.11,13.57,15.47,21.63,8.904,24.82,0.01255,0.00557,0.009488,0.01191,0.01455,0.02131,0.001744,0.03233,0.02776,0.01157,0.02065,0.02582,0.0327,0.04974,0.003408,0.07746,1.005,0.4744,0.7908,0.969,1.165,1.667,0.1491,2.386,2.207,0.9488,1.702,2.161,2.536,3.82,0.325,5.464
jxl,85,80.69,75.01,79.14,81.08,82.66,84.98,70.53,86.6,36.49,31.96,34.58,36.36,38.34,40.95,27.85,44.52,0.955,0.9107,0.945,0.9614,0.9705,0.9801,0.8887,0.9908,1.785,1.636,1.731,1.772,1.842,1.961,1.391,2.17,4.27e+05,2.117e+05,3.443e+05,4.189e+05,5.133e+05,7.07e+05,67866,793657,1.204,0.6109,0.9548,1.179,1.386,1.942,0.1963,2.591,8.096,6.613,7.659,8.002,8.498,9.497,4.814,12.06,2.844e-06,2.672e-06,2.78e-06,2.853e-06,2.928e-06,3.029e-06,1.962e-06,3.099e-06,11.1,8.668,9.563,10.65,11.82,16.32,7.346,20.84,0.01507,0.0073,0.01193,0.01459,0.01733,0.02559,0.002266,0.03673,0.03402,0.01502,0.02609,0.03173,0.03942,0.06075,0.00447,0.09301,1.264,0.6452,1.036,1.23,1.455,2.081,0.1988,2.901,2.166,1.038,1.71,2.128,2.473,3.573,0.3435,4.943
jxl,90,85.2,81.35,84.24,85.6,86.5,88.22,77.1,89.78,38.22,33.61,36.31,38.06,40.07,42.41,29.18,45.72,0.9675,0.9322,0.9603,0.9715,0.9795,0.9848,0.9088,0.9925,1.28,1.177,1.237,1.276,1.317,1.373,1.152,1.554,5.811e+05,3.03e+05,4.843e+05,5.697e+05,6.71e+05,9.316e+05,106911,1048367,1.636,0.8575,1.398,1.598,1.904,2.542,0.3092,3.404,8.251,6.629,7.859,8.154,8.723,9.779,4.855,11.87,2.9e-06,2.664e-06,2.866e-06,2.922e-06,2.984e-06,3.103e-06,2.012e-06,3.256e-06,8.062,6.416,7.036,7.846,8.6,10.56,5.59,15.46,0.01932,0.009638,0.01624,0.01885,0.02222,0.03145,0.003444,0.04416,0.04399,0.01984,0.0353,0.042,0.05124,0.07635,0.006853,0.1167,1.694,0.8777,1.44,1.656,1.963,2.699,0.3124,3.724,2.104,1.077,1.692,2.029,2.423,3.367,0.3947,4.668
jxl,95,89.73,87.04,89.02,89.84,90.61,91.56,84.65,92.95,40.84,36.25,39.03,40.57,42.85,45.41,31.34,47.53,0.9799,0.9501,0.9778,0.9842,0.9883,0.9902,0.9254,0.9941,0.7949,0.7423,0.7623,0.792,0.8184,0.8642,0.7154,0.9261,8.953e+05,5.022e+05,7.453e+05,8.808e+05,1.021e+06,1.381e+06,194703,1532953,2.519,1.417,2.151,2.502,2.832,3.711,0.5631,4.95,8.206,6.522,7.789,8.116,8.734,9.636,4.835,12.41,2.883e-06,2.662e-06,2.831e-06,2.906e-06,2.986e-06,3.064e-06,1.973e-06,3.298e-06,5.152,4.333,4.668,5,5.402,6.307,3.845,9.253,0.02813,0.01535,0.02406,0.02798,0.03192,0.04173,0.006058,0.05847,0.06305,0.03122,0.05134,0.06044,0.07205,0.1017,0.01191,0.1579,2.573,1.437,2.197,2.554,2.905,3.843,0.5669,5.27,2.008,1.074,1.707,1.946,2.232,2.953,0.4143,4.584
webp,30,47.33,37.81,43.9,48.3,50.9,56.38,23.45,66.25,31.46,28,30.02,31.3,32.55,35.55,25.5,39.71,0.888,0.7977,0.8767,0.8916,0.913,0.9369,0.702,0.9753,6.054,4.898,5.333,5.917,6.629,7.927,4.497,8.499,1.58e+05,4.418e+04,1.044e+05,1.454e+05,1.906e+05,3.379e+05,19076,453548,0.4469,0.1337,0.3019,0.4014,0.5451,0.9363,0.05517,1.315,0.7513,0.4865,0.6158,0.7366,0.8621,1.09,0.3383,1.378,2.645e-07,1.712e-07,2.226e-07,2.6e-07,2.978e-07,3.94e-07,1.223e-07,4.525e-07,34.63,17.74,25.56,29.91,38.92,63.52,14.47,126.6,0.009666,0.002878,0.006125,0.008785,0.01125,0.02011,0.0008327,0.03515,0.01482,0.00375,0.009146,0.01292,0.01799,0.03375,0.001389,0.05158,0.5064,0.1509,0.3385,0.4544,0.6173,1.068,0.05657,1.574,2.591,0.9159,1.824,2.453,3.291,4.837,0.3669,8.143
webp,35,50.66,41.58,46.97,51.13,54.21,59.43,27.85,67.99,31.9,28.58,30.5,31.71,33.17,35.92,25.96,40.02,0.8959,0.812,0.8844,0.8996,0.9202,0.9419,0.7421,0.9775,5.608,4.557,4.962,5.392,6.126,7.374,4.11,8.076,1.734e+05,4.774e+04,1.148e+05,1.582e+05,2.078e+05,3.705e+05,20244,492294,0.4907,0.1466,0.3303,0.4455,0.5973,1.023,0.05855,1.443,0.779,0.4975,0.6127,0.7508,0.9138,1.126,0.3215,1.434,2.742e-07,1.725e-07,2.241e-07,2.661e-07,3.12e-07,4.072e-07,1.162e-07,4.639e-07,31.55,16.18,23.48,27.39,35.43,58.44,13.19,117.1,0.00986,0.002997,0.006263,0.008935,0.01184,0.02067,0.0008611,0.03511,0.01603,0.004076,0.00988,0.01416,0.01925,0.0363,0.001463,0.05561,0.5506,0.1645,0.3658,0.4925,0.6646,1.154,0.05998,1.701,2.643,0.8783,1.855,2.433,3.285,4.496,0.3272,8.414
webp,40,53.93,45.6,50.65,54.56,57.35,62.09,31.7,69.85,32.37,29.2,31.07,32.17,33.6,36.3,26.35,40.38,0.9032,0.8237,0.8911,0.9079,0.9255,0.9478,0.7744,0.9798,5.137,4.103,4.495,4.926,5.71,6.665,3.915,7.534,1.902e+05,5.23e+04,1.253e+05,1.743e+05,2.271e+05,4.097e+05,22024,531938,0.5383,0.1601,0.3585,0.4932,0.6548,1.119,0.06369,1.6,0.8105,0.5085,0.6425,0.81,0.9301,1.256,0.327,1.49,2.852e-07,1.719e-07,2.277e-07,2.833e-07,3.228e-07,4.473e-07,1.182e-07,4.922e-07,28.83,14.63,21.12,24.74,32.53,54.28,11.89,108.8,0.01009,0.00311,0.006479,0.009201,0.0123,0.02101,0.0009118,0.03531,0.0173,0.004398,0.01064,0.01544,0.0207,0.03903,0.001577,0.06054,0.5983,0.1783,0.3967,0.537,0.72,1.249,0.06519,1.859,2.654,0.8736,1.942,2.399,3.232,4.796,0.3511,8.628
webp,45,56.58,48.28,54.07,57.15,59.82,64.5,37.16,71.05,32.79,29.8,31.44,32.55,33.97,36.7,26.75,40.68,0.9092,0.8331,0.897,0.9145,0.9298,0.9528,0.7809,0.9812,4.835,3.668,4.232,4.756,5.398,5.936,3.377,6.963,2.066e+05,5.727e+04,1.361e+05,1.913e+05,2.425e+05,4.429e+05,23476,574768,0.5845,0.1744,0.3867,0.5452,0.7005,1.226,0.06789,1.709,0.8329,0.5042,0.6732,0.8139,0.955,1.323,0.3354,1.568,2.93e-07,1.8e-07,2.4e-07,2.913e-07,3.306e-07,4.74e-07,1.213e-07,4.912e-07,26.52,13.53,19.51,22.58,29.92,50.63,11.14,99.22,0.01041,0.003227,0.006566,0.009599,0.01205,0.02148,0.0009556,0.0357,0.01852,0.004763,0.01132,0.01674,0.02219,0.04203,0.001669,0.06389,0.6448,0.1938,0.4239,0.5893,0.7779,1.354,0.06943,1.968,2.705,0.8956,1.949,2.458,3.376,4.789,0.3127,8.673
webp,50,58.64,49.65,56.19,59.04,61.91,66.25,40.51,72.18,33.1,30.14,31.81,32.92,34.25,36.92,27,40.88,0.9141,0.8411,0.9015,0.9196,0.9338,0.9557,0.7823,0.9826,4.584,3.676,3.956,4.467,5.085,5.978,3.367,6.898,2.205e+05,6.124e+04,1.461e+05,2.027e+05,2.606e+05,4.695e+05,24798,600820,0.624,0.1892,0.4113,0.5801,0.7473,1.306,0.07172,1.806,0.863,0.5321,0.6868,0.8449,0.9996,1.317,0.3276,1.622,3.038e-07,1.855e-07,2.459e-07,3.052e-07,3.435e-07,4.634e-07,1.184e-07,5.203e-07,24.8,12.76,18.24,21.15,27.86,47.64,10.54,90.48,0.01071,0.003345,0.006799,0.009892,0.01246,0.02184,0.0009936,0.03559,0.01956,0.005132,0.01196,0.01763,0.02356,0.04422,0.001754,0.0669,0.6842,0.2088,0.4491,0.6238,0.8224,1.431,0.0733,2.063,2.753,0.9236,1.92,2.496,3.423,5.095,0.3238,9.189
webp,55,60.84,52.58,57.92,61.33,63.94,68.22,45,73.57,33.45,30.6,32.13,33.32,34.5,37.21,27.3,41.12,0.9189,0.8532,0.9069,0.9244,0.9379,0.9598,0.785,0.9838,4.337,3.525,3.838,4.157,4.675,5.762,3.27,6.596,2.359e+05,6.54e+04,1.562e+05,2.18e+05,2.837e+05,4.985e+05,26374,637670,0.6676,0.2028,0.4408,0.6208,0.8056,1.393,0.07627,1.932,0.8786,0.5006,0.7029,0.836,0.9945,1.413,0.3375,1.604,3.092e-07,1.79e-07,2.501e-07,3.008e-07,3.5e-07,4.966e-07,1.22e-07,5.292e-07,23.08,11.97,17.17,19.84,26.06,44.07,9.85,77.9,0.01101,0.003485,0.007099,0.01018,0.01274,0.02236,0.001037,0.03577,0.02069,0.005473,0.0127,0.0185,0.02496,0.04671,0.001855,0.07077,0.7277,0.2226,0.4792,0.6635,0.8736,1.519,0.0779,2.186,2.796,0.9318,1.987,2.57,3.573,5.065,0.3298,10.48
webp,60,63.06,55.77,60.6,63.54,66.01,69.85,47.98,74.73,33.77,30.94,32.46,33.6,34.81,37.51,27.53,41.33,0.9233,0.8655,0.9127,0.9297,0.9414,0.9626,0.7876,0.9848,4.112,3.354,3.607,4.009,4.331,5.452,3.018,6.354,2.513e+05,6.941e+04,1.685e+05,2.331e+05,3.006e+05,5.254e+05,27812,672736,0.7109,0.2183,0.4703,0.6591,0.8544,1.49,0.08043,2.032,0.9143,0.5371,0.7515,0.8867,1.035,1.425,0.3343,1.706,3.216e-07,1.935e-07,2.715e-07,3.199e-07,3.598e-07,5.061e-07,1.209e-07,5.434e-07,21.59,11.32,15.98,18.59,24.23,40.73,9.367,68.45,0.01128,0.003624,0.007373,0.01046,0.01325,0.02281,0.001076,0.03648,0.02181,0.005833,0.01343,0.01943,0.0262,0.0489,0.001946,0.07379,0.7709,0.2362,0.509,0.7017,0.921,1.609,0.0821,2.283,2.835,0.9107,2.05,2.542,3.363,5.26,0.3267,9.492
