format,quality,ssimulacra2_mean,ssimulacra2_p05,ssimulacra2_p25,ssimulacra2_p50,ssimulacra2_p75,ssimulacra2_p95,ssimulacra2_min,ssimulacra2_max,psnr_mean,psnr_p05,psnr_p25,psnr_p50,psnr_p75,psnr_p95,psnr_min,psnr_max,ssim_mean,ssim_p05,ssim_p25,ssim_p50,ssim_p75,ssim_p95,ssim_min,ssim_max,butteraugli_mean,butteraugli_p05,butteraugli_p25,butteraugli_p50,butteraugli_p75,butteraugli_p95,butteraugli_min,butteraugli_max,file_size_mean,file_size_p05,file_size_p25,file_size_p50,file_size_p75,file_size_p95,file_size_min,file_size_max,bits_per_pixel_mean,bits_per_pixel_p05,bits_per_pixel_p25,bits_per_pixel_p50,bits_per_pixel_p75,bits_per_pixel_p95,bits_per_pixel_min,bits_per_pixel_max,encoding_time_mean,encoding_time_p05,encoding_time_p25,encoding_time_p50,encoding_time_p75,encoding_time_p95,encoding_time_min,encoding_time_max,encoding_time_per_pixel_mean,encoding_time_per_pixel_p05,encoding_time_per_pixel_p25,encoding_time_per_pixel_p50,encoding_time_per_pixel_p75,encoding_time_per_pixel_p95,encoding_time_per_pixel_min,encoding_time_per_pixel_max,compression_ratio_mean,compression_ratio_p05,compression_ratio_p25,compression_ratio_p50,compression_ratio_p75,compression_ratio_p95,compression_ratio_min,compression_ratio_max,bits_per_ssimulacra2_per_pixel_mean,bits_per_ssimulacra2_per_pixel_p05,bits_per_ssimulacra2_per_pixel_p25,bits_per_ssimulacra2_per_pixel_p50,bits_per_ssimulacra2_per_pixel_p75,bits_per_ssimulacra2_per_pixel_p95,bits_per_ssimulacra2_per_pixel_min,bits_per_ssimulacra2_per_pixel_max,bits_per_psnr_per_pixel_mean,bits_per_psnr_per_pixel_p05,bits_per_psnr_per_pixel_p25,bits_per_psnr_per_pixel_p50,bits_per_psnr_per_pixel_p75,bits_per_psnr_per_pixel_p95,bits_per_psnr_per_pixel_min,bits_per_psnr_per_pixel_max,bits_per_ssim_per_pixel_mean,bits_per_ssim_per_pixel_p05,bits_per_ssim_per_pixel_p25,bits_per_ssim_per_pixel_p50,bits_per_ssim_per_pixel_p75,bits_per_ssim_per_pixel_p95,bits_per_ssim_per_pixel_min,bits_per_ssim_per_pixel_max,bits_per_butteraugli_per_pixel_mean,bits_per_butteraugli_per_pixel_p05,bits_per_butteraugli_per_pixel_p25,bits_per_butteraugli_per_pixel_p50,bits_per_butteraugli_per_pixel_p75,bits_per_butteraugli_per_pixel_p95,bits_per_butteraugli_per_pixel_min,bits_per_butteraugli_per_pixel_max
avif,85,88.7,85.64,87.53,88.84,90.02,90.95,83.99,91.42,43.51,41.91,42.97,43.44,43.97,45.14,40.79,48.51,0.9857,0.9715,0.9837,0.9871,0.9901,0.9926,0.9637,0.9966,1.383,1.079,1.224,1.366,1.532,1.725,0.9478,1.895,8.167e+05,3.019e+05,6.111e+05,7.423e+05,9.622e+05,1.55e+06,117772,1889375,2.308,0.8132,1.76,2.078,2.78,4.23,0.3406,6.569,54.42,34.46,47.97,54.38,60.13,77.55,13.71,90.77,1.913e-05,1.276e-05,1.733e-05,1.931e-05,2.14e-05,2.471e-05,4.955e-06,3.099e-05,6.178,3.988,4.953,5.836,6.781,8.927,2.897,19.05,0.02591,0.009147,0.01989,0.02396,0.03099,0.04675,0.004007,0.07337,0.05363,0.01797,0.04041,0.04785,0.06436,0.101,0.007245,0.161,2.339,0.8268,1.791,2.111,2.803,4.257,0.3451,6.642,3.075,1.3,2.45,2.997,3.608,5.096,0.5827,8.259
avif,90,90.69,88.54,89.67,90.86,91.72,92.72,86.5,92.85,45.42,43.85,44.83,45.33,45.85,47.15,43.04,50.78,0.9902,0.9825,0.989,0.9912,0.993,0.995,0.9737,0.9971,1.182,0.807,0.9436,1.129,1.31,1.606,0.7376,4.853,1.068e+06,4.461e+05,8.291e+05,9.855e+05,1.264e+06,1.999e+06,182381,2299236,3.016,1.181,2.394,2.751,3.589,5.304,0.5274,7.993,58.18,39.59,52.95,57.37,62.79,82.55,15.12,98.58,2.046e-05,1.448e-05,1.889e-05,2.05e-05,2.215e-05,2.574e-05,5.467e-06,3.2e-05,4.588,3.222,3.871,4.357,4.951,6.778,2.381,12.3,0.03315,0.01317,0.02636,0.03052,0.03937,0.05759,0.006097,0.08725,0.06702,0.02539,0.05171,0.06092,0.08087,0.1204,0.01096,0.1856,3.044,1.196,2.418,2.783,3.618,5.338,0.5332,8.051,3.4,1.553,2.691,3.13,3.908,4.979,0.8218,14.74
jpeg,30,47.61,37.91,44,48.03,51.43,57.13,28.39,68.81,30.97,26.24,29.36,31.07,32.56,35.23,23.38,39.34,0.8848,0.7798,0.8734,0.8929,0.9111,0.9425,0.6545,0.9763,5.991,4.379,4.867,5.615,6.484,9.325,4.032,10.86,2.176e+05,9.646e+04,1.69e+05,2.208e+05,2.556e+05,3.539e+05,64915,460862,0.6135,0.293,0.4896,0.5936,0.7229,1.01,0.1877,1.177,0.135,0.09883,0.1194,0.1329,0.1498,0.173,0.08085,0.1864,4.74e-08,3.884e-08,4.319e-08,4.742e-08,5.168e-08,5.686e-08,2.923e-08,6.307e-08,21.85,16.2,19.07,20.23,24.02,30.38,12.89,51.62,0.01325,0.006692,0.01004,0.01263,0.01478,0.02334,0.002728,0.04141,0.02059,0.008145,0.0153,0.01914,0.0245,0.0384,0.004773,0.05029,0.6996,0.326,0.5483,0.66,0.8308,1.203,0.1925,1.523,3.705,1.453,2.616,3.316,4.282,6.835,1.061,11.71
jpeg,35,53.03,42.1,50.48,53.94,56.45,61.26,33.56,71.33,31.46,26.74,29.81,31.6,33.12,35.85,23.75,40.24,0.8934,0.7906,0.8841,0.9027,0.9188,0.9479,0.6752,0.978,5.582,3.937,4.59,5.308,6.361,8.07,3.642,8.795,2.4e+05,1.037e+05,1.868e+05,2.432e+05,2.847e+05,3.88e+05,68019,506235,0.6765,0.3225,0.5452,0.6592,0.7959,1.111,0.1967,1.31,0.1326,0.09771,0.119,0.131,0.1477,0.1678,0.0801,0.1985,4.655e-08,3.805e-08,4.249e-08,4.59e-08,5.123e-08,5.542e-08,2.964e-08,6.1e-08,19.84,14.6,17.28,18.4,21.66,27.99,11.88,46.61,0.01306,0.006271,0.009928,0.01263,0.01471,0.02285,0.002758,0.03902,0.02234,0.008828,0.01642,0.02068,0.02652,0.04186,0.004888,0.05515,0.7634,0.3543,0.5959,0.7282,0.9061,1.312,0.2011,1.663,3.804,1.564,2.617,3.48,4.506,6.97,0.8673,10.95
jpeg,40,56.7,46.55,54.33,57.7,60.17,64.3,37.55,73.46,31.85,27.1,30.15,31.99,33.55,36.32,24.06,40.57,0.8952,0.7976,0.8917,0.9061,0.9255,0.9518,0.5711,0.9793,5.293,3.806,4.417,5.129,5.922,7.776,3.476,8.661,2.585e+05,1.099e+05,2.017e+05,2.637e+05,3.094e+05,4.191e+05,70628,544276,0.7288,0.3483,0.5895,0.7095,0.8571,1.191,0.2043,1.424,0.1322,0.09654,0.1203,0.1322,0.1449,0.1674,0.08034,0.1902,4.642e-08,3.864e-08,4.307e-08,4.711e-08,5.017e-08,5.36e-08,2.935e-08,6.069e-08,18.43,13.46,16.03,17.07,20.04,26.24,11.15,42.52,0.01313,0.006251,0.009929,0.01266,0.01491,0.02338,0.00278,0.03792,0.02377,0.009442,0.0175,0.02195,0.02825,0.0447,0.005035,0.05919,0.8215,0.378,0.6358,0.8147,0.9812,1.401,0.2086,1.781,3.89,1.52,2.768,3.532,4.671,7.147,0.9014,10.95
jpeg,45,59.7,50.15,57.59,60.54,63.2,66.99,40.63,74.99,32.22,27.47,30.49,32.4,33.92,36.8,24.37,40.87,0.907,0.8147,0.8995,0.9145,0.9317,0.9552,0.7077,0.9804,5.019,3.618,4.207,4.816,5.659,6.961,3.347,8.046,2.795e+05,1.199e+05,2.189e+05,2.839e+05,3.347e+05,4.544e+05,73765,585199,0.788,0.3769,0.6381,0.7666,0.9279,1.284,0.2133,1.548,0.1344,0.09828,0.1192,0.1326,0.148,0.1787,0.08087,0.1973,4.717e-08,3.786e-08,4.349e-08,4.74e-08,5.167e-08,5.739e-08,2.94e-08,6.262e-08,17.03,12.4,14.82,15.89,18.42,24.42,10.46,37.85,0.01345,0.006469,0.01013,0.01291,0.01546,0.02372,0.002845,0.03809,0.02539,0.01012,0.01879,0.02341,0.03013,0.04783,0.00522,0.06352,0.8751,0.41,0.6813,0.8284,1.042,1.502,0.2177,1.908,3.993,1.601,2.787,3.661,4.885,7.048,0.829,12.38
jpeg,50,62.45,53.56,60.51,63.42,65.6,69.07,43.41,76.29,32.55,27.82,30.79,32.75,34.26,37.19,24.65,41.13,0.912,0.824,0.9043,0.92,0.9361,0.9579,0.7219,0.9815,4.822,3.604,4.059,4.611,5.369,6.965,3.056,7.434,2.98e+05,1.314e+05,2.339e+05,3.015e+05,3.579e+05,4.858e+05,76454,621423,0.8402,0.4021,0.678,0.8164,0.9924,1.366,0.2211,1.658,0.1333,0.09756,0.1188,0.1323,0.1503,0.167,0.07341,0.1989,4.677e-08,3.748e-08,4.307e-08,4.691e-08,5.154e-08,5.499e-08,2.92e-08,5.845e-08,15.96,11.71,13.89,14.94,17.16,23.07,9.918,34.15,0.0137,0.00651,0.01027,0.01308,0.01577,0.02405,0.002898,0.03819,0.02679,0.01076,0.01989,0.02466,0.03191,0.0505,0.005376,0.06727,0.9275,0.4459,0.7209,0.8792,1.11,1.585,0.2254,2.02,4.084,1.663,2.885,3.708,4.986,6.918,0.9173,12.32
jpeg,55,64.62,55.74,62.54,65.39,67.58,70.92,46.17,77.41,32.86,28.19,31.07,33.05,34.55,37.55,24.93,41.37,0.9169,0.8322,0.909,0.9251,0.9402,0.9603,0.7363,0.9826,4.593,3.361,4.026,4.42,5.083,6.4,2.944,7.554,3.173e+05,1.447e+05,2.486e+05,3.198e+05,3.796e+05,5.189e+05,79404,658792,0.8944,0.4248,0.7191,0.8679,1.06,1.455,0.2296,1.772,0.1335,0.09474,0.1188,0.1326,0.1477,0.1669,0.07477,0.188,4.688e-08,3.805e-08,4.285e-08,4.692e-08,5.168e-08,5.553e-08,2.96e-08,6.038e-08,14.98,11.21,13.05,14.06,16.13,21.74,9.407,30.7,0.01408,0.006707,0.01058,0.01342,0.01635,0.02472,0.002967,0.03838,0.02822,0.01156,0.02103,0.02595,0.03366,0.05322,0.00555,0.07106,0.9814,0.4782,0.7642,0.9309,1.177,1.647,0.2339,2.135,4.141,1.689,2.956,3.747,5.09,6.806,0.9835,13.38
jpeg,60,66.47,57.93,64.48,67.36,69.67,72.34,48.67,78.47,33.22,28.61,31.41,33.41,34.85,37.92,25.27,41.63,0.9214,0.8343,0.9132,0.9302,0.9447,0.9628,0.7532,0.9835,4.387,3.144,3.69,4.183,4.853,6.267,2.749,8.048,3.413e+05,1.619e+05,2.668e+05,3.431e+05,4.082e+05,5.595e+05,83207,704262,0.962,0.4565,0.7715,0.9332,1.148,1.565,0.2406,1.913,0.1336,0.09454,0.1188,0.1321,0.1484,0.173,0.07924,0.2022,4.682e-08,3.745e-08,4.309e-08,4.707e-08,5.159e-08,5.59e-08,2.969e-08,5.92e-08,13.9,10.47,12.12,13.1,14.94,20.29,8.856,26.95,0.01469,0.00701,0.01115,0.01399,0.01706,0.02571,0.003066,0.03932,0.03001,0.01298,0.02235,0.02759,0.03587,0.0559,0.00578,0.07573,1.051,0.5169,0.8163,0.9977,1.262,1.796,0.245,2.279,4.248,1.692,3.065,3.739,5.502,7.671,0.9966,13.94
jpeg,65,69.12,60.94,67.4,69.7,71.98,74.71,51.74,79.53,33.62,29.09,31.81,33.78,35.24,38.28,25.66,41.19,0.9274,0.8523,0.9185,0.9354,0.9487,0.9656,0.7728,0.9848,4.174,2.969,3.485,4.104,4.724,5.849,2.55,6.96,3.713e+05,1.82e+05,2.91e+05,3.717e+05,4.484e+05,6.093e+05,88075,759585,1.047,0.5205,0.8417,1.015,1.246,1.699,0.2547,2.084,0.1338,0.09623,0.1215,0.1343,0.1497,0.1707,0.07879,0.1919,4.694e-08,3.843e-08,4.391e-08,4.682e-08,5.08e-08,5.61e-08,2.916e-08,5.861e-08,12.74,9.658,11.23,12.1,13.72,18.54,8.243,23.15,0.01536,0.00735,0.0118,0.01463,0.01789,0.02681,0.003203,0.04027,0.03221,0.01415,0.02401,0.02962,0.03859,0.05951,0.006185,0.08121,1.135,0.5684,0.8833,1.081,1.364,1.883,0.2595,2.452,4.419,1.784,3.19,3.954,5.594,7.646,0.9005,14.05
