quality,effort,ssimulacra2_mean,ssimulacra2_p05,ssimulacra2_p25,ssimulacra2_p50,ssimulacra2_p75,ssimulacra2_p95,ssimulacra2_min,ssimulacra2_max,psnr_mean,psnr_p05,psnr_p25,psnr_p50,psnr_p75,psnr_p95,psnr_min,psnr_max,ssim_mean,ssim_p05,ssim_p25,ssim_p50,ssim_p75,ssim_p95,ssim_min,ssim_max,butteraugli_mean,butteraugli_p05,butteraugli_p25,butteraugli_p50,butteraugli_p75,butteraugli_p95,butteraugli_min,butteraugli_max,file_size_mean,file_size_p05,file_size_p25,file_size_p50,file_size_p75,file_size_p95,file_size_min,file_size_max,bits_per_pixel_mean,bits_per_pixel_p05,bits_per_pixel_p25,bits_per_pixel_p50,bits_per_pixel_p75,bits_per_pixel_p95,bits_per_pixel_min,bits_per_pixel_max,encoding_time_mean,encoding_time_p05,encoding_time_p25,encoding_time_p50,encoding_time_p75,encoding_time_p95,encoding_time_min,encoding_time_max,encoding_time_per_pixel_mean,encoding_time_per_pixel_p05,encoding_time_per_pixel_p25,encoding_time_per_pixel_p50,encoding_time_per_pixel_p75,encoding_time_per_pixel_p95,encoding_time_per_pixel_min,encoding_time_per_pixel_max,compression_ratio_mean,compression_ratio_p05,compression_ratio_p25,compression_ratio_p50,compression_ratio_p75,compression_ratio_p95,compression_ratio_min,compression_ratio_max,bits_per_ssimulacra2_per_pixel_mean,bits_per_ssimulacra2_per_pixel_p05,bits_per_ssimulacra2_per_pixel_p25,bits_per_ssimulacra2_per_pixel_p50,bits_per_ssimulacra2_per_pixel_p75,bits_per_ssimulacra2_per_pixel_p95,bits_per_ssimulacra2_per_pixel_min,bits_per_ssimulacra2_per_pixel_max,bits_per_psnr_per_pixel_mean,bits_per_psnr_per_pixel_p05,bits_per_psnr_per_pixel_p25,bits_per_psnr_per_pixel_p50,bits_per_psnr_per_pixel_p75,bits_per_psnr_per_pixel_p95,bits_per_psnr_per_pixel_min,bits_per_psnr_per_pixel_max,bits_per_ssim_per_pixel_mean,bits_per_ssim_per_pixel_p05,bits_per_ssim_per_pixel_p25,bits_per_ssim_per_pixel_p50,bits_per_ssim_per_pixel_p75,bits_per_ssim_per_pixel_p95,bits_per_ssim_per_pixel_min,bits_per_ssim_per_pixel_max,bits_per_butteraugli_per_pixel_mean,bits_per_butteraugli_per_pixel_p05,bits_per_butteraugli_per_pixel_p25,bits_per_butteraugli_per_pixel_p50,bits_per_butteraugli_per_pixel_p75,bits_per_butteraugli_per_pixel_p95,bits_per_butteraugli_per_pixel_min,bits_per_butteraugli_per_pixel_max
50,1,63.16,61.25,62.01,62.49,63.63,65.99,61.07,66.58,32.27,30.68,31.13,31.98,33.12,34.26,30.56,34.55,0.8822,0.8126,0.862,0.9004,0.9206,0.9263,0.8002,0.9277,4.073,3.912,3.945,3.965,4.093,4.387,3.904,4.46,1.755e+05,1.184e+05,1.372e+05,1.829e+05,2.211e+05,2.222e+05,113743,222428,0.5187,0.3097,0.3872,0.5288,0.6604,0.7136,0.2904,0.7269,0.19,0.1808,0.1856,0.19,0.1943,0.1992,0.1796,0.2004,6.867e-08,6.455e-08,6.687e-08,6.868e-08,7.048e-08,7.278e-08,6.397e-08,7.336e-08,25.2,19.64,20.86,24.9,29.24,31.19,19.33,31.68,0.008296,0.004717,0.006138,0.008459,0.01062,0.01165,0.004362,0.0119,0.01628,0.009154,0.01214,0.01647,0.02061,0.02315,0.008406,0.02378,0.588,0.3474,0.4721,0.6061,0.7219,0.8032,0.3163,0.8235,2.097,1.261,1.691,2.199,2.604,2.791,1.153,2.838
50,2,63.16,61.25,62.01,62.49,63.63,65.99,61.07,66.58,32.27,30.68,31.13,31.98,33.12,34.26,30.56,34.55,0.8822,0.8126,0.862,0.9004,0.9206,0.9263,0.8002,0.9277,4.073,3.912,3.945,3.965,4.093,4.387,3.904,4.46,1.755e+05,1.184e+05,1.372e+05,1.829e+05,2.211e+05,2.222e+05,113743,222428,0.5187,0.3097,0.3872,0.5288,0.6604,0.7136,0.2904,0.7269,0.2102,0.1838,0.2047,0.2161,0.2217,0.2283,0.1785,0.23,7.583e-08,6.882e-08,7.172e-08,7.603e-08,8.014e-08,8.254e-08,6.809e-08,8.314e-08,25.2,19.64,20.86,24.9,29.24,31.19,19.33,31.68,0.008296,0.004717,0.006138,0.008459,0.01062,0.01165,0.004362,0.0119,0.01628,0.009154,0.01214,0.01647,0.02061,0.02315,0.008406,0.02378,0.588,0.3474,0.4721,0.6061,0.7219,0.8032,0.3163,0.8235,2.097,1.261,1.691,2.199,2.604,2.791,1.153,2.838
50,3,63.16,61.25,62.01,62.49,63.63,65.99,61.07,66.58,32.27,30.68,31.13,31.98,33.12,34.26,30.56,34.55,0.8822,0.8126,0.862,0.9004,0.9206,0.9263,0.8002,0.9277,4.073,3.912,3.945,3.965,4.093,4.387,3.904,4.46,1.586e+05,1.039e+05,1.251e+05,1.67e+05,2.005e+05,2.015e+05,98589,201697,0.4692,0.2721,0.3535,0.4831,0.5988,0.6471,0.2517,0.6591,0.2124,0.1947,0.2016,0.2107,0.2215,0.2323,0.193,0.235,7.723e-08,6.933e-08,6.964e-08,7.183e-08,7.942e-08,9.268e-08,6.926e-08,9.6e-08,28.05,21.66,23.01,27.17,32.22,35.68,21.32,36.55,0.007507,0.004146,0.005607,0.007726,0.009626,0.01056,0.003781,0.01079,0.01474,0.008049,0.0111,0.01505,0.01869,0.02099,0.007286,0.02157,0.5322,0.3056,0.4316,0.554,0.6546,0.7283,0.2741,0.7468,1.898,1.109,1.546,2.009,2.361,2.531,0.9995,2.573
50,4,64.07,62.19,62.68,63.44,64.82,66.83,62.06,67.34,32.52,30.78,31.4,32.2,33.32,34.7,30.62,35.04,0.8868,0.8206,0.8653,0.9044,0.9259,0.9282,0.8095,0.9288,4.187,3.878,3.92,4.098,4.365,4.619,3.867,4.683,1.65e+05,1.111e+05,1.32e+05,1.735e+05,2.065e+05,2.071e+05,105867,207246,0.4877,0.2908,0.3726,0.5016,0.6167,0.6652,0.2703,0.6773,0.2238,0.2093,0.2128,0.2213,0.2324,0.2418,0.2085,0.2442,8.078e-08,7.751e-08,7.781e-08,8.026e-08,8.324e-08,8.478e-08,7.743e-08,8.517e-08,26.74,21.06,22.34,26.09,30.49,33.33,20.75,34.04,0.007679,0.004382,0.005854,0.007895,0.00972,0.01067,0.004014,0.01091,0.01522,0.008484,0.01156,0.01553,0.01919,0.02153,0.007714,0.02212,0.5508,0.3238,0.4499,0.5724,0.6732,0.7476,0.2922,0.7662,2.006,1.264,1.716,2.127,2.416,2.578,1.151,2.619
50,5,60.82,54.5,55.82,59.22,64.23,69.38,54.17,70.66,32.59,29.95,31.32,32.27,33.55,35.68,29.61,36.21,0.8889,0.8401,0.8562,0.8906,0.9233,0.9351,0.8361,0.938,4.511,3.886,4.378,4.608,4.741,5,3.763,5.064,1.323e+05,9.794e+04,1.138e+05,1.378e+05,1.563e+05,1.588e+05,93981,159424,0.3895,0.2562,0.321,0.3985,0.467,0.5102,0.2399,0.521,0.951,0.8953,0.927,0.9447,0.9687,1.015,0.8874,1.027,3.442e-07,3.065e-07,3.324e-07,3.528e-07,3.647e-07,3.7e-07,3.001e-07,3.713e-07,32.49,27.48,29.53,32.32,35.28,37.73,26.97,38.34,0.006646,0.003727,0.005054,0.006786,0.008378,0.009371,0.003396,0.009619,0.01224,0.007231,0.00965,0.01237,0.01496,0.01707,0.006626,0.01759,0.4412,0.2799,0.3762,0.4526,0.5176,0.5865,0.2558,0.6038,1.803,1.009,1.435,1.835,2.203,2.551,0.9028,2.638
50,6,63.7,57.61,59.96,63.13,66.88,70.59,57.02,71.52,32.66,30.12,31.59,32.38,33.44,35.58,29.75,36.11,0.8937,0.8421,0.8628,0.9003,0.9312,0.936,0.8369,0.9372,4.418,3.84,4.284,4.523,4.656,4.849,3.729,4.897,1.354e+05,1.01e+05,1.174e+05,1.412e+05,1.593e+05,1.618e+05,96851,162407,0.3987,0.2641,0.3312,0.4085,0.4761,0.5198,0.2473,0.5307,1.496,1.413,1.48,1.508,1.524,1.561,1.397,1.571,5.405e-07,5.079e-07,5.341e-07,5.45e-07,5.515e-07,5.667e-07,5.013e-07,5.706e-07,31.67,26.97,28.97,31.5,34.2,36.61,26.47,37.21,0.006444,0.003763,0.004988,0.006505,0.007961,0.009038,0.003457,0.009308,0.01248,0.007475,0.009986,0.01262,0.01512,0.0173,0.006847,0.01784,0.4487,0.2886,0.3878,0.4609,0.5218,0.5916,0.2638,0.609,1.805,1.024,1.434,1.85,2.221,2.524,0.922,2.599
50,7,63.8,57.77,59.93,63.16,67.03,70.73,57.23,71.66,32.69,30.14,31.61,32.39,33.47,35.65,29.77,36.19,0.8941,0.8424,0.8636,0.9008,0.9313,0.9364,0.8371,0.9377,4.357,3.798,4.18,4.419,4.596,4.829,3.703,4.887,1.359e+05,1.011e+05,1.179e+05,1.42e+05,1.601e+05,1.623e+05,96881,162832,0.4003,0.2644,0.3328,0.4108,0.4782,0.5214,0.2473,0.5321,1.812,1.718,1.771,1.795,1.835,1.931,1.705,1.954,6.571e-07,5.796e-07,6.054e-07,6.613e-07,7.13e-07,7.286e-07,5.731e-07,7.325e-07,31.56,26.89,28.83,31.32,34.05,36.57,26.4,37.2,0.006458,0.003761,0.005,0.006542,0.008,0.009039,0.003452,0.009299,0.01252,0.007473,0.01003,0.01269,0.01518,0.01734,0.006834,0.01787,0.4501,0.2889,0.3896,0.4634,0.524,0.5927,0.2638,0.6099,1.789,1.014,1.404,1.819,2.203,2.521,0.9159,2.601
50,8,61.7,55.3,57.72,60.96,64.94,69.13,54.69,70.18,32.43,29.78,31.26,32.18,33.35,35.43,29.41,35.96,0.8891,0.8384,0.8567,0.8937,0.9261,0.9335,0.8338,0.9354,4.639,4.002,4.149,4.526,5.016,5.434,3.965,5.538,1.26e+05,9.325e+04,1.092e+05,1.324e+05,1.492e+05,1.5e+05,89252,150167,0.3711,0.244,0.3083,0.3829,0.4456,0.4817,0.2279,0.4907,6.191,5.65,5.943,6.229,6.476,6.677,5.577,6.728,2.232e-06,2.154e-06,2.181e-06,2.235e-06,2.286e-06,2.306e-06,2.147e-06,2.311e-06,34.07,29.09,30.92,33.63,36.77,39.65,28.63,40.37,0.006214,0.003555,0.004789,0.006318,0.007743,0.008727,0.003247,0.008973,0.01171,0.006935,0.009323,0.01191,0.0143,0.01621,0.006337,0.01669,0.42,0.2674,0.3624,0.4342,0.4918,0.5526,0.2436,0.5678,1.779,0.9796,1.284,1.748,2.243,2.623,0.9034,2.718
50,9,61.73,55.33,57.76,61.01,64.98,69.15,54.72,70.19,32.44,29.78,31.27,32.19,33.35,35.44,29.41,35.96,0.8893,0.8386,0.8569,0.8939,0.9262,0.9335,0.834,0.9354,4.527,4.002,4.149,4.526,4.904,5.054,3.965,5.092,1.266e+05,9.326e+04,1.1e+05,1.335e+05,1.501e+05,1.504e+05,89063,150453,0.3728,0.244,0.3107,0.3861,0.4482,0.483,0.2274,0.4917,8.776,8.062,8.454,8.754,9.076,9.523,7.964,9.634,3.164e-06,3.081e-06,3.105e-06,3.165e-06,3.224e-06,3.247e-06,3.075e-06,3.253e-06,33.93,29.01,30.73,33.34,36.54,39.68,28.58,40.46,0.006239,0.003556,0.004823,0.006366,0.007781,0.008744,0.00324,0.008985,0.01177,0.006938,0.009394,0.01201,0.01438,0.01625,0.006324,0.01672,0.4219,0.2675,0.3651,0.4378,0.4946,0.5539,0.2431,0.5687,1.733,0.98,1.294,1.762,2.201,2.443,0.9015,2.504
50,10,61.7,55.3,57.72,60.96,64.94,69.13,54.7,70.18,32.43,29.78,31.26,32.18,33.35,35.43,29.41,35.96,0.8891,0.8384,0.8567,0.8936,0.9261,0.9335,0.8338,0.9354,4.639,4.002,4.149,4.526,5.016,5.434,3.965,5.538,1.258e+05,9.301e+04,1.09e+05,1.321e+05,1.49e+05,1.497e+05,89023,149838,0.3703,0.2433,0.3076,0.3821,0.4449,0.4807,0.2273,0.4897,6.231,5.865,6.114,6.239,6.356,6.584,5.803,6.641,2.25e-06,2.139e-06,2.216e-06,2.255e-06,2.29e-06,2.354e-06,2.119e-06,2.37e-06,34.14,29.15,30.97,33.7,36.87,39.76,28.69,40.48,0.006201,0.003546,0.004777,0.006306,0.007729,0.008708,0.003238,0.008952,0.01169,0.006917,0.0093,0.01189,0.01428,0.01618,0.006321,0.01665,0.4191,0.2667,0.3615,0.4334,0.491,0.5514,0.243,0.5665,1.776,0.9771,1.281,1.745,2.239,2.617,0.9011,2.712
