quality,crop,ssimulacra2_mean,ssimulacra2_p05,ssimulacra2_p25,ssimulacra2_p50,ssimulacra2_p75,ssimulacra2_p95,ssimulacra2_min,ssimulacra2_max,psnr_mean,psnr_p05,psnr_p25,psnr_p50,psnr_p75,psnr_p95,psnr_min,psnr_max,ssim_mean,ssim_p05,ssim_p25,ssim_p50,ssim_p75,ssim_p95,ssim_min,ssim_max,butteraugli_mean,butteraugli_p05,butteraugli_p25,butteraugli_p50,butteraugli_p75,butteraugli_p95,butteraugli_min,butteraugli_max,file_size_mean,file_size_p05,file_size_p25,file_size_p50,file_size_p75,file_size_p95,file_size_min,file_size_max,bits_per_pixel_mean,bits_per_pixel_p05,bits_per_pixel_p25,bits_per_pixel_p50,bits_per_pixel_p75,bits_per_pixel_p95,bits_per_pixel_min,bits_per_pixel_max,encoding_time_mean,encoding_time_p05,encoding_time_p25,encoding_time_p50,encoding_time_p75,encoding_time_p95,encoding_time_min,encoding_time_max,encoding_time_per_pixel_mean,encoding_time_per_pixel_p05,encoding_time_per_pixel_p25,encoding_time_per_pixel_p50,encoding_time_per_pixel_p75,encoding_time_per_pixel_p95,encoding_time_per_pixel_min,encoding_time_per_pixel_max,compression_ratio_mean,compression_ratio_p05,compression_ratio_p25,compression_ratio_p50,compression_ratio_p75,compression_ratio_p95,compression_ratio_min,compression_ratio_max,bits_per_ssimulacra2_per_pixel_mean,bits_per_ssimulacra2_per_pixel_p05,bits_per_ssimulacra2_per_pixel_p25,bits_per_ssimulacra2_per_pixel_p50,bits_per_ssimulacra2_per_pixel_p75,bits_per_ssimulacra2_per_pixel_p95,bits_per_ssimulacra2_per_pixel_min,bits_per_ssimulacra2_per_pixel_max,bits_per_psnr_per_pixel_mean,bits_per_psnr_per_pixel_p05,bits_per_psnr_per_pixel_p25,bits_per_psnr_per_pixel_p50,bits_per_psnr_per_pixel_p75,bits_per_psnr_per_pixel_p95,bits_per_psnr_per_pixel_min,bits_per_psnr_per_pixel_max,bits_per_ssim_per_pixel_mean,bits_per_ssim_per_pixel_p05,bits_per_ssim_per_pixel_p25,bits_per_ssim_per_pixel_p50,bits_per_ssim_per_pixel_p75,bits_per_ssim_per_pixel_p95,bits_per_ssim_per_pixel_min,bits_per_ssim_per_pixel_max,bits_per_butteraugli_per_pixel_mean,bits_per_butteraugli_per_pixel_p05,bits_per_butteraugli_per_pixel_p25,bits_per_butteraugli_per_pixel_p50,bits_per_butteraugli_per_pixel_p75,bits_per_butteraugli_per_pixel_p95,bits_per_butteraugli_per_pixel_min,bits_per_butteraugli_per_pixel_max
60,2048,66.88,57.55,63.37,66.92,70.23,77.92,35.4,88.41,30.96,25.09,27.84,30.14,33.15,41.18,21.21,46.89,0.8895,0.7824,0.8714,0.8981,0.9203,0.9845,0.6267,0.9978,3.455,2.418,2.89,3.131,3.72,5.57,1.997,6.42,3.445e+05,1.586e+05,2.678e+05,3.399e+05,4.079e+05,5.791e+05,83207,711036,0.9705,0.453,0.7712,0.9374,1.137,1.641,0.2406,2.038,0.1394,0.1047,0.1275,0.1416,0.1489,0.1714,0.08556,0.2079,4.893e-08,3.863e-08,4.686e-08,5.018e-08,5.214e-08,5.451e-08,3.093e-08,5.622e-08,14.19,10.17,12.09,13.08,15.1,22.11,8.85,33.07,0.01498,0.006701,0.01116,0.01421,0.01736,0.0269,0.003331,0.05405,0.03296,0.01287,0.0231,0.03077,0.03999,0.06316,0.006807,0.09022,1.102,0.5222,0.8587,1.028,1.275,1.93,0.2778,2.672,3.375,1.283,2.361,3.025,3.964,6.128,0.6374,11.64
70,400,71.62,62.03,68.77,71.92,74.48,81.13,45.89,93.06,32.1,25.93,28.9,31.22,33.98,42.44,22,57.41,0.9073,0.8141,0.8922,0.9176,0.9361,0.9867,0.7032,0.9988,3.036,2.021,2.544,2.809,3.348,4.792,1.16,5.86,2.145e+04,6299,1.582e+04,2.202e+04,2.73e+04,3.632e+04,2428,42132,1.579,0.4227,1.158,1.486,2.061,2.648,0.1716,3.202,0.007752,0.00595,0.007351,0.007815,0.008278,0.009356,0.003984,0.01091,7.087e-08,5.588e-08,6.855e-08,7.144e-08,7.559e-08,8.097e-08,4.408e-08,8.76e-08,10.53,7.46,8.454,9.579,11.47,17,5.999,33.28,0.02266,0.005295,0.01613,0.02124,0.02982,0.04061,0.001844,0.05371,0.05309,0.00998,0.03393,0.0477,0.07169,0.1014,0.002988,0.1282,1.75,0.4463,1.278,1.694,2.246,2.965,0.1718,3.375,4.921,0.8403,3.243,4.94,6.425,8.57,0.199,11.75
70,800,71.58,62.56,68.42,71.96,74.12,81.22,46.61,93.24,32.1,25.94,28.91,31.22,34.01,42.37,22.03,57.47,0.9073,0.8147,0.8916,0.9179,0.9354,0.9868,0.7029,0.9987,2.978,2.031,2.517,2.721,3.168,4.748,1.178,6.15,7.601e+04,3.394e+04,5.614e+04,7.491e+04,9.461e+04,1.245e+05,7786,162706,1.396,0.6293,1.069,1.337,1.719,2.339,0.1464,2.937,0.02414,0.01816,0.02258,0.02421,0.0259,0.03013,0.0137,0.03374,5.516e-08,4.267e-08,5.236e-08,5.599e-08,5.925e-08,6.308e-08,3.484e-08,7.073e-08,10.9,7.93,9.085,10.33,12.06,15.58,6.661,22.78,0.01997,0.007555,0.01442,0.0191,0.02477,0.03533,0.001707,0.04617,0.04644,0.01529,0.03198,0.04277,0.05893,0.08976,0.003095,0.1131,1.548,0.6386,1.18,1.518,1.951,2.541,0.1476,3.095,4.213,1.372,2.919,3.883,5.317,7.776,0.3036,10.57
70,1200,71.64,62.32,68.83,71.99,74.39,81.15,48.51,93.24,32.1,25.94,28.89,31.25,34.01,42.43,22.03,57.47,0.9073,0.8134,0.892,0.9181,0.9364,0.9868,0.707,0.9987,3.006,2.028,2.517,2.778,3.219,4.863,1.178,6.069,1.618e+05,8.254e+04,1.241e+05,1.627e+05,1.958e+05,2.522e+05,23019,339052,1.318,0.648,1.043,1.301,1.499,2.152,0.1923,2.5,0.05104,0.03838,0.04654,0.05151,0.05507,0.06211,0.03361,0.07294,5.179e-08,4.164e-08,4.867e-08,5.345e-08,5.536e-08,5.916e-08,3.51e-08,6.086e-08,11.04,8.086,9.499,10.43,12.29,15.14,7.107,19.87,0.0188,0.008576,0.01395,0.0182,0.02229,0.03281,0.002243,0.04752,0.04341,0.01674,0.02969,0.04109,0.05106,0.0846,0.004067,0.1047,1.463,0.729,1.121,1.459,1.691,2.468,0.1939,3.051,3.991,1.476,2.88,3.644,4.907,7.033,0.3989,11.18
70,1600,71.6,61.65,68.55,71.53,74.56,81.01,46.74,93.24,32.1,25.95,28.89,31.23,34,42.43,22.04,57.47,0.9074,0.8148,0.892,0.9178,0.9355,0.9867,0.707,0.9987,3.041,2.022,2.538,2.658,3.48,4.683,1.178,6.75,2.733e+05,1.387e+05,2.041e+05,2.772e+05,3.217e+05,4.344e+05,65843,576777,1.251,0.6267,0.9591,1.234,1.44,2.045,0.3094,2.452,0.08833,0.06272,0.08095,0.09026,0.09534,0.1085,0.04869,0.1275,5.039e-08,3.684e-08,4.833e-08,5.207e-08,5.4e-08,5.634e-08,2.86e-08,5.759e-08,11.31,8.582,9.869,10.74,12.16,15.85,7.275,22.34,0.01786,0.00881,0.01338,0.01729,0.02101,0.03117,0.003608,0.04787,0.04103,0.0174,0.02832,0.03963,0.05008,0.0783,0.006543,0.1015,1.389,0.7181,1.042,1.36,1.615,2.342,0.312,2.96,3.826,1.391,2.591,3.516,4.577,7.027,0.6418,10.33
70,2048,71.46,62.19,68.38,71.47,74.35,80.97,45.32,93.02,32.09,25.92,28.9,31.23,34.01,42.47,22.03,57.46,0.9072,0.8151,0.8915,0.9178,0.9352,0.9869,0.707,0.9987,3.009,2.025,2.532,2.721,3.293,4.752,1.178,6.89,4.123e+05,1.99e+05,3.208e+05,4.02e+05,4.988e+05,6.872e+05,93980,839581,1.161,0.5837,0.923,1.118,1.355,1.964,0.2718,2.407,0.1411,0.1088,0.1281,0.1423,0.1516,0.1722,0.08815,0.2078,4.954e-08,3.959e-08,4.688e-08,5.087e-08,5.288e-08,5.665e-08,3.187e-08,5.955e-08,11.77,8.544,10.26,11.01,12.56,17.39,7.605,26.47,0.01663,0.007731,0.01257,0.01568,0.01925,0.02921,0.003589,0.05063,0.03806,0.01494,0.02681,0.03582,0.0465,0.07187,0.007832,0.1042,1.29,0.6335,1.007,1.203,1.495,2.226,0.3092,3.04,3.522,1.278,2.473,3.084,4.409,7.075,0.6858,9.925
80,400,76.83,68.6,74.63,76.87,79.36,85.7,54.72,93.48,33.49,27.6,30.55,32.67,34.97,44.59,22.98,58.71,0.9283,0.8431,0.9162,0.9362,0.9523,0.9872,0.7922,0.9988,2.498,1.658,2.111,2.335,2.715,3.876,1.101,4.766,2.698e+04,8918,1.976e+04,2.773e+04,3.447e+04,4.521e+04,2540,51889,1.986,0.5974,1.466,1.878,2.572,3.305,0.1777,3.938,0.007941,0.006123,0.007376,0.007972,0.008562,0.00969,0.004109,0.01178,7.26e-08,5.62e-08,6.853e-08,7.306e-08,7.818e-08,8.385e-08,4.439e-08,1.107e-07,8.393,5.997,6.761,7.57,9.239,11.84,4.932,30.61,0.02637,0.007094,0.01933,0.02501,0.03423,0.04642,0.001901,0.05721,0.06357,0.01386,0.04187,0.05793,0.08498,0.1183,0.003026,0.1487,2.147,0.6253,1.585,2.086,2.759,3.586,0.1779,4.078,5.041,1.047,3.554,4.923,6.441,8.421,0.1956,11.81
80,800,76.74,67.95,74.39,76.7,79.12,85.25,55.94,93.6,33.49,27.56,30.49,32.71,34.93,44.58,22.96,58.8,0.9282,0.8431,0.9158,0.936,0.9526,0.9875,0.7938,0.9988,2.498,1.612,2.098,2.265,2.765,3.855,1.159,5.422,9.603e+04,4.3e+04,7.133e+04,9.388e+04,1.199e+05,1.525e+05,8200,200199,1.764,0.7628,1.36,1.728,2.17,2.866,0.1541,3.626,0.0244,0.01776,0.02294,0.02472,0.02618,0.02929,0.01364,0.0371,5.576e-08,4.144e-08,5.285e-08,5.711e-08,6.008e-08,6.366e-08,3.204e-08,6.919e-08,8.598,6.218,7.235,8.108,9.523,11.71,5.455,18.17,0.02337,0.009004,0.01743,0.02221,0.02874,0.04112,0.001752,0.04925,0.05591,0.018,0.03987,0.05223,0.07034,0.1053,0.003187,0.1311,1.908,0.7845,1.467,1.882,2.416,3.12,0.1553,3.757,4.468,1.27,3.14,4.084,5.621,8.33,0.2281,12.08
80,1200,76.84,68.57,74.41,76.97,79.34,85.62,57.95,93.6,33.49,27.61,30.52,32.66,34.94,44.63,22.95,58.8,0.9282,0.8422,0.9159,0.9366,0.9521,0.9873,0.7905,0.9988,2.488,1.647,2.123,2.294,2.669,3.943,1.159,5.249,2.046e+05,1.1e+05,1.579e+05,2.053e+05,2.45e+05,3.169e+05,26377,417581,1.667,0.8663,1.304,1.632,1.895,2.684,0.2204,3.08,0.05134,0.03867,0.04707,0.05211,0.05527,0.06466,0.02557,0.07368,5.211e-08,4.044e-08,4.902e-08,5.401e-08,5.617e-08,5.897e-08,2.671e-08,6.136e-08,8.685,6.466,7.598,8.319,9.481,11.92,5.822,15.7,0.02202,0.01067,0.01664,0.02146,0.02617,0.03682,0.002505,0.05049,0.05236,0.02166,0.03683,0.04945,0.06156,0.09857,0.004557,0.1275,1.805,0.9225,1.386,1.803,2.078,3.002,0.2221,3.686,4.177,1.495,3.056,3.983,5,7.641,0.3261,11.55
80,1600,76.79,67.87,74.8,76.61,78.94,85.51,55.34,93.6,33.48,27.63,30.49,32.64,34.94,44.64,22.97,58.8,0.9282,0.8437,0.916,0.9373,0.9519,0.9875,0.7926,0.9988,2.504,1.567,2.146,2.297,2.834,3.826,1.159,4.846,3.461e+05,1.804e+05,2.625e+05,3.469e+05,4.087e+05,5.483e+05,80406,711219,1.584,0.8479,1.234,1.55,1.823,2.579,0.3778,3.048,0.08875,0.06539,0.08142,0.09044,0.09603,0.1065,0.05689,0.1247,5.068e-08,3.712e-08,4.833e-08,5.228e-08,5.411e-08,5.676e-08,3.342e-08,6.09e-08,8.87,6.855,7.849,8.451,9.587,11.8,5.964,15.98,0.02094,0.01057,0.01589,0.02016,0.02444,0.03527,0.004296,0.05114,0.04956,0.02185,0.03523,0.04792,0.05942,0.09132,0.007813,0.1232,1.715,0.9014,1.341,1.689,1.986,2.855,0.3808,3.571,3.983,1.565,2.781,3.727,4.902,6.924,0.5592,10.7
