quality,crop,ssimulacra2_mean,ssimulacra2_p05,ssimulacra2_p25,ssimulacra2_p50,ssimulacra2_p75,ssimulacra2_p95,ssimulacra2_min,ssimulacra2_max,psnr_mean,psnr_p05,psnr_p25,psnr_p50,psnr_p75,psnr_p95,psnr_min,psnr_max,ssim_mean,ssim_p05,ssim_p25,ssim_p50,ssim_p75,ssim_p95,ssim_min,ssim_max,butteraugli_mean,butteraugli_p05,butteraugli_p25,butteraugli_p50,butteraugli_p75,butteraugli_p95,butteraugli_min,butteraugli_max,file_size_mean,file_size_p05,file_size_p25,file_size_p50,file_size_p75,file_size_p95,file_size_min,file_size_max,bits_per_pixel_mean,bits_per_pixel_p05,bits_per_pixel_p25,bits_per_pixel_p50,bits_per_pixel_p75,bits_per_pixel_p95,bits_per_pixel_min,bits_per_pixel_max,encoding_time_mean,encoding_time_p05,encoding_time_p25,encoding_time_p50,encoding_time_p75,encoding_time_p95,encoding_time_min,encoding_time_max,encoding_time_per_pixel_mean,encoding_time_per_pixel_p05,encoding_time_per_pixel_p25,encoding_time_per_pixel_p50,encoding_time_per_pixel_p75,encoding_time_per_pixel_p95,encoding_time_per_pixel_min,encoding_time_per_pixel_max,compression_ratio_mean,compression_ratio_p05,compression_ratio_p25,compression_ratio_p50,compression_ratio_p75,compression_ratio_p95,compression_ratio_min,compression_ratio_max,bits_per_ssimulacra2_per_pixel_mean,bits_per_ssimulacra2_per_pixel_p05,bits_per_ssimulacra2_per_pixel_p25,bits_per_ssimulacra2_per_pixel_p50,bits_per_ssimulacra2_per_pixel_p75,bits_per_ssimulacra2_per_pixel_p95,bits_per_ssimulacra2_per_pixel_min,bits_per_ssimulacra2_per_pixel_max,bits_per_psnr_per_pixel_mean,bits_per_psnr_per_pixel_p05,bits_per_psnr_per_pixel_p25,bits_per_psnr_per_pixel_p50,bits_per_psnr_per_pixel_p75,bits_per_psnr_per_pixel_p95,bits_per_psnr_per_pixel_min,bits_per_psnr_per_pixel_max,bits_per_ssim_per_pixel_mean,bits_per_ssim_per_pixel_p05,bits_per_ssim_per_pixel_p25,bits_per_ssim_per_pixel_p50,bits_per_ssim_per_pixel_p75,bits_per_ssim_per_pixel_p95,bits_per_ssim_per_pixel_min,bits_per_ssim_per_pixel_max,bits_per_butteraugli_per_pixel_mean,bits_per_butteraugli_per_pixel_p05,bits_per_butteraugli_per_pixel_p25,bits_per_butteraugli_per_pixel_p50,bits_per_butteraugli_per_pixel_p75,bits_per_butteraugli_per_pixel_p95,bits_per_butteraugli_per_pixel_min,bits_per_butteraugli_per_pixel_max
70,2048,64.98,54.54,62.56,64.02,68.92,75.3,51.64,77.75,28.68,23.15,28.31,28.87,29.58,33.52,20.81,35.53,0.8725,0.7611,0.845,0.8941,0.9158,0.943,0.7348,0.9546,2.956,2.477,2.806,2.995,3.223,3.278,2.366,3.288,2.284e+05,1.432e+05,1.927e+05,2.135e+05,2.382e+05,3.588e+05,126977,421978,0.6868,0.3861,0.5573,0.6052,0.6744,1.225,0.3242,1.467,9.693,8.696,9.277,9.625,10.02,10.83,8.595,10.86,3.52e-06,3.414e-06,3.449e-06,3.487e-06,3.556e-06,3.698e-06,3.401e-06,3.735e-06,21.31,14.84,19.94,21.11,24.09,26.83,13.1,28.3,0.01122,0.005277,0.00837,0.009454,0.0106,0.0227,0.00417,0.02841,0.02602,0.01182,0.01884,0.02154,0.02349,0.05517,0.009124,0.07051,0.814,0.4471,0.6392,0.6729,0.7352,1.597,0.3548,1.996,2.09,0.9978,1.515,1.843,2.182,3.95,0.767,4.782
80,400,73.68,67.76,70.68,72.81,76.27,81.18,66.71,83.58,30.2,24.46,30.09,30.65,31.05,34.65,21.63,36.49,0.9026,0.7974,0.8666,0.9307,0.9469,0.9652,0.7727,0.9743,2.103,1.743,2.068,2.103,2.21,2.385,1.583,2.392,2.037e+04,1.13e+04,1.584e+04,1.969e+04,2.678e+04,2.869e+04,10187,29344,1.571,0.7917,1.191,1.572,1.84,2.449,0.6769,2.656,0.3875,0.2945,0.3551,0.3889,0.4213,0.4798,0.2789,0.51,3.673e-06,2.644e-06,3.534e-06,3.952e-06,4.022e-06,4.201e-06,2.621e-06,4.236e-06,11.18,8.13,10.27,10.91,12.3,14.39,7.553,14.98,0.02179,0.009885,0.01678,0.02159,0.02452,0.03606,0.008099,0.03981,0.05548,0.02346,0.03923,0.05099,0.06008,0.1042,0.01855,0.1228,1.767,0.8902,1.372,1.659,1.912,3.011,0.7279,3.437,3.417,1.427,2.51,3.338,3.925,5.845,1.072,6.353
80,800,73.29,67.39,69.45,72.5,76.09,81.22,66.86,83.6,30.26,24.77,30.08,30.64,31.08,34.68,22.09,36.52,0.9047,0.8073,0.8654,0.9321,0.9468,0.9654,0.7873,0.9745,2.049,1.723,2.035,2.082,2.154,2.24,1.557,2.258,6.823e+04,3.777e+04,5.861e+04,6.971e+04,8.621e+04,9.002e+04,35135,91298,1.312,0.66,1.145,1.359,1.495,1.907,0.5836,2.066,1.499,1.181,1.376,1.531,1.629,1.767,1.092,1.821,3.545e-06,2.774e-06,3.232e-06,3.791e-06,3.914e-06,3.951e-06,2.565e-06,3.968e-06,12.53,9.712,11.38,11.9,13.14,16.54,9.263,16.99,0.0183,0.008237,0.0164,0.01869,0.02015,0.02816,0.006981,0.0309,0.04581,0.01949,0.03778,0.04409,0.04875,0.07973,0.01598,0.09349,1.467,0.7396,1.313,1.44,1.553,2.31,0.6265,2.624,2.742,1.21,2.452,2.836,3.039,4.179,0.9087,4.663
80,1200,73.66,68.29,69.98,72.54,76.28,81.49,68.21,83.46,30.38,25.08,30.08,30.57,31.24,34.9,22.6,36.8,0.9064,0.8141,0.8666,0.9324,0.9478,0.9658,0.8008,0.9754,2.091,1.796,2.044,2.18,2.201,2.218,1.702,2.224,1.365e+05,8.073e+04,1.212e+05,1.34e+05,1.49e+05,1.997e+05,76073,218501,1.175,0.626,1.012,1.167,1.224,1.863,0.561,2.194,3.392,3.026,3.081,3.418,3.546,3.861,3.009,3.937,3.558e-06,3.243e-06,3.512e-06,3.615e-06,3.643e-06,3.771e-06,3.142e-06,3.838e-06,13.39,10.01,12.3,12.89,14.43,17.32,8.876,17.7,0.01629,0.007819,0.014,0.01609,0.017,0.02687,0.006722,0.03216,0.0412,0.01841,0.03323,0.03823,0.03999,0.07727,0.01524,0.09709,1.317,0.7026,1.094,1.267,1.3,2.242,0.6016,2.739,2.496,1.187,2.2,2.468,2.598,4.072,0.955,4.842
80,1600,74,67.29,71.89,73.12,76.63,81.48,66.23,83.57,30.4,25.15,30.19,30.59,31.26,34.79,22.6,36.65,0.9065,0.814,0.8664,0.9326,0.9477,0.9661,0.8008,0.9754,2.036,1.753,2.033,2.058,2.116,2.217,1.625,2.249,2.239e+05,1.412e+05,1.93e+05,2.143e+05,2.441e+05,3.313e+05,134324,370246,1.087,0.6155,0.9068,1.007,1.124,1.804,0.5574,2.092,6.08,5.507,5.858,6.017,6.208,6.813,5.449,6.926,3.59e-06,3.448e-06,3.503e-06,3.565e-06,3.627e-06,3.806e-06,3.425e-06,3.848e-06,13.94,10.25,12.79,14,15.12,17.44,9.168,17.69,0.01507,0.007654,0.01243,0.01391,0.01501,0.02659,0.006669,0.03159,0.03812,0.01815,0.02987,0.03322,0.03614,0.07435,0.01521,0.09255,1.22,0.6915,0.9888,1.104,1.166,2.167,0.5993,2.612,2.267,1.109,1.858,2.077,2.343,3.993,0.9055,4.705
80,2048,74.2,67.85,72.25,73.37,76.15,81.56,65.94,83.58,30.53,25.24,30.43,30.9,31.3,34.69,22.54,36.46,0.9092,0.8161,0.8768,0.934,0.948,0.9665,0.8006,0.9757,2.1,1.864,2.035,2.107,2.219,2.276,1.779,2.304,3.319e+05,1.991e+05,2.784e+05,3.104e+05,3.565e+05,5.213e+05,175067,598223,0.9966,0.5372,0.8052,0.8976,1.01,1.751,0.447,2.08,9.826,8.91,9.386,9.773,10.03,11.02,8.762,11.35,3.571e-06,3.355e-06,3.491e-06,3.565e-06,3.655e-06,3.788e-06,3.322e-06,3.808e-06,14.71,10.3,13.6,14.56,15.81,19.34,9.238,20.53,0.01382,0.00674,0.01091,0.01227,0.0135,0.02594,0.005348,0.03154,0.0351,0.01597,0.02603,0.02955,0.03226,0.07271,0.01226,0.09229,1.119,0.6047,0.9114,0.9545,1.044,2.11,0.4812,2.598,2.127,1.085,1.677,1.891,2.113,3.886,0.7953,4.612
90,400,83.64,79.83,81.85,83.71,85.07,87.8,79.41,89.23,33.02,27.19,32.58,33.21,34.73,37.4,24.36,38.69,0.9384,0.86,0.9072,0.9618,0.9728,0.985,0.8469,0.9898,1.169,1.029,1.097,1.148,1.166,1.407,1.005,1.517,3.276e+04,1.831e+04,2.709e+04,3.215e+04,4.204e+04,4.491e+04,15913,46258,2.526,1.286,2.037,2.568,2.886,3.837,1.057,4.186,0.3898,0.2958,0.356,0.3796,0.438,0.4863,0.2852,0.5102,3.7e-06,2.641e-06,3.275e-06,4.102e-06,4.174e-06,4.235e-06,2.62e-06,4.237e-06,6.905,5.201,6.329,6.822,7.195,8.967,4.791,9.587,0.03051,0.01475,0.02499,0.03083,0.03413,0.0477,0.01185,0.05272,0.08059,0.03613,0.06268,0.07577,0.08366,0.1453,0.02733,0.1719,2.713,1.398,2.242,2.637,2.932,4.363,1.109,4.943,3.055,1.376,2.344,2.899,3.259,5.417,1.063,6.351
90,800,83.5,79.31,81.5,83.59,85.25,87.93,79.04,89.35,33.06,27.46,32.5,33.21,34.8,37.32,24.84,38.53,0.9397,0.8668,0.9057,0.9624,0.9731,0.9853,0.857,0.9899,1.155,1.083,1.1,1.128,1.152,1.314,1.082,1.38,1.159e+05,6.51e+04,1.048e+05,1.174e+05,1.417e+05,1.526e+05,58768,153848,2.23,1.14,1.969,2.346,2.524,3.176,0.9762,3.481,1.448,1.113,1.23,1.463,1.656,1.775,1.056,1.834,3.441e-06,2.499e-06,2.808e-06,3.845e-06,3.935e-06,4.009e-06,2.48e-06,4.015e-06,7.34,5.852,6.615,6.905,7.709,9.654,5.497,10.16,0.02699,0.01303,0.02438,0.02813,0.02987,0.0397,0.01093,0.04404,0.0705,0.032,0.06087,0.06906,0.07299,0.1186,0.02534,0.1401,2.386,1.236,2.159,2.415,2.563,3.581,1.023,4.061,2.624,1.265,2.152,2.633,2.867,4.21,1.06,4.805
90,1200,83.74,80,81.96,83.57,85.34,88.02,79.9,89.37,33.18,27.82,32.53,33.22,34.89,37.47,25.37,38.7,0.9411,0.8729,0.906,0.9629,0.9728,0.9855,0.867,0.9902,1.146,1.032,1.093,1.112,1.157,1.337,0.9995,1.405,2.355e+05,1.397e+05,2.07e+05,2.343e+05,2.585e+05,3.384e+05,126983,359765,2.025,1.086,1.729,1.957,2.231,3.158,0.9365,3.612,3.395,3.008,3.197,3.504,3.55,3.689,2.96,3.753,3.571e-06,3.146e-06,3.407e-06,3.669e-06,3.749e-06,3.861e-06,3.091e-06,3.887e-06,7.738,5.847,7.12,7.351,8.387,10.08,5.391,10.6,0.02442,0.01241,0.02082,0.02405,0.02616,0.03897,0.01048,0.04521,0.06408,0.03039,0.05231,0.05963,0.0636,0.1158,0.0242,0.1424,2.168,1.178,1.815,2.079,2.261,3.537,0.9804,4.166,2.389,1.153,1.909,2.291,2.437,4.184,0.936,5.075
90,1600,83.86,79.89,82.34,83.97,85.2,87.95,79.35,89.2,33.2,27.89,32.56,33.29,34.97,37.3,25.38,38.4,0.9408,0.8727,0.9062,0.9616,0.9732,0.9858,0.8677,0.9904,1.17,0.9851,1.116,1.182,1.241,1.328,0.9567,1.37,3.899e+05,2.438e+05,3.314e+05,3.578e+05,4.548e+05,5.723e+05,224090,612138,1.889,1.065,1.558,1.682,2.136,3.067,0.9298,3.458,6.215,5.662,5.983,6.127,6.292,7.027,5.622,7.281,3.67e-06,3.457e-06,3.572e-06,3.633e-06,3.785e-06,3.914e-06,3.4e-06,3.971e-06,8.01,5.933,7.264,7.915,8.825,10.16,5.545,10.6,0.02276,0.0122,0.0187,0.02043,0.02506,0.03805,0.01042,0.04358,0.05975,0.02991,0.0471,0.05101,0.06076,0.1121,0.02422,0.1363,2.024,1.157,1.637,1.785,2.165,3.429,0.9765,3.986,2.267,1.13,1.797,2.091,2.293,4.037,0.8896,4.74
90,2048,84.14,79.95,83.3,84.02,85.67,87.91,78.86,89.04,33.36,27.91,33.07,33.49,34.94,37.4,25.35,38.55,0.9427,0.8734,0.9145,0.9624,0.9737,0.9857,0.8663,0.9904,1.14,1.038,1.067,1.092,1.182,1.325,1.024,1.327,5.807e+05,3.504e+05,4.79e+05,5.127e+05,6.717e+05,9.048e+05,301512,979263,1.736,0.9471,1.385,1.483,1.991,2.945,0.7698,3.404,9.983,8.971,9.462,9.909,10.24,11.35,8.931,11.74,3.625e-06,3.417e-06,3.54e-06,3.629e-06,3.708e-06,3.834e-06,3.388e-06,3.881e-06,8.402,6.013,7.366,8.478,9.078,11.06,5.644,11.92,0.02089,0.01084,0.01646,0.0179,0.02332,0.03675,0.008645,0.04317,0.05504,0.02665,0.04171,0.04442,0.05663,0.1083,0.01997,0.1343,1.86,1.029,1.464,1.558,2.017,3.304,0.8081,3.93,2.025,1.043,1.529,1.7,2.157,3.756,0.7881,4.5
